Date,Temperature (F),Humidity,Wind Speed (mph),Precipitation (inches),Pressure (mb)
2008-01-01,41.2,68.9,7.7,0.002,1019.5
2008-01-02,45.0,70.5,20.2,0.02,1016.6
2008-01-03,44.9,77.3,14.1,0.14,1008.7
2008-01-04,48.3,80.2,13.2,0.837,1011.6
2008-01-05,49.0,84.6,7.7,0.085,1018.3
2008-01-06,51.8,82.5,17.6,0.311,1015.2
2008-01-07,51.5,79.0,12.2,0.0,1019.4
2008-01-08,47.0,75.8,6.8,0.0,1022.7
2008-01-09,44.9,81.5,6.9,0.006,1023.1
2008-01-10,47.1,89.1,5.8,0.133,1024.1
2008-01-11,51.2,92.9,13.5,1.025,1017.7
2008-01-12,49.3,78.5,15.9,0.591,1007.3
2008-01-13,44.7,74.5,8.8,0.0,1015.5
2008-01-14,44.3,88.3,9.0,1.198,1017.8
2008-01-15,49.0,81.0,9.5,0.29,1015.9
2008-01-16,49.7,86.3,7.7,0.595,1006.9
2008-01-17,47.9,72.1,12.1,0.0,1012.8
2008-01-18,48.7,73.3,8.6,0.0,1021.7
2008-01-19,48.3,83.1,7.0,0.0,1028.1
2008-01-20,48.6,83.6,7.1,0.002,1029.0
2008-01-21,49.6,77.3,11.7,0.0,1025.2
2008-01-22,51.6,63.1,20.1,0.0,1015.3
2008-01-23,46.1,61.4,7.9,0.0,1025.8
2008-01-24,44.5,67.9,7.9,0.002,1030.3
2008-01-25,45.0,77.3,7.1,0.0,1031.4
2008-01-26,46.8,65.0,8.1,0.002,1033.4
2008-01-27,47.4,61.0,8.7,0.0,1028.2
2008-01-28,47.5,78.0,6.0,0.002,1026.1
2008-01-29,48.7,86.2,5.8,0.002,1027.3
2008-01-30,51.2,79.1,13.2,0.0,1023.3
2008-01-31,48.1,71.3,7.7,0.0,1020.6
2008-02-01,46.7,66.2,13.5,0.004,1016.4
2008-02-02,49.3,74.5,13.8,0.18,1012.5
2008-02-03,47.1,72.8,8.6,0.034,1019.5
2008-02-04,47.5,76.6,16.4,0.869,1013.3
2008-02-05,47.2,58.4,14.8,0.0,1020.2
2008-02-06,47.1,68.3,11.3,0.0,1026.0
2008-02-07,48.0,66.5,6.7,0.0,1028.9
2008-02-08,45.6,66.4,7.5,0.0,1032.2
2008-02-09,44.3,68.5,10.0,0.0,1031.1
2008-02-10,45.7,70.0,7.9,0.0,1030.4
2008-02-11,43.7,70.2,9.0,0.002,1029.8
2008-02-12,43.3,71.4,6.0,0.0,1030.0
2008-02-13,42.6,72.2,12.4,0.002,1032.4
2008-02-14,42.1,70.5,6.2,0.002,1031.5
2008-02-15,42.4,74.6,6.8,0.0,1026.2
2008-02-16,43.7,72.7,10.4,0.002,1030.9
2008-02-17,46.0,63.5,12.2,0.0,1038.9
2008-02-18,42.2,71.9,10.7,0.0,1032.5
2008-02-19,42.4,74.3,8.2,0.0,1027.6
2008-02-20,47.2,75.7,12.2,0.0,1025.5
2008-02-21,47.1,76.8,6.9,0.0,1026.9
2008-02-22,48.2,81.3,8.8,0.0,1029.2
2008-02-23,49.7,81.6,8.6,0.002,1029.4
2008-02-24,51.7,76.3,7.9,0.0,1029.4
2008-02-25,47.8,80.7,5.7,0.0,1026.0
2008-02-26,52.7,79.4,9.5,0.001,1021.8
2008-02-27,54.9,77.1,9.7,0.0,1017.3
2008-02-28,54.3,82.9,8.5,0.016,1021.5
2008-02-29,56.5,75.2,12.4,0.0,1022.2
2008-03-01,58.4,59.2,24.8,0.003,1012.0
2008-03-02,60.7,49.8,20.5,0.003,1013.3
2008-03-03,57.5,57.0,15.6,0.0,1011.5
2008-03-04,53.2,36.9,22.0,0.0,1006.4
2008-03-05,47.4,43.4,12.5,0.0,1008.5
2008-03-06,43.9,43.5,9.2,0.003,1012.0
2008-03-07,46.3,67.3,9.1,0.053,1007.9
2008-03-08,48.1,66.8,6.2,0.013,1009.7
2008-03-09,48.5,79.6,10.4,0.008,1011.0
2008-03-10,48.1,89.7,7.8,0.818,1005.4
2008-03-11,55.1,56.7,17.9,0.031,1003.0
2008-03-12,59.4,55.5,21.3,0.0,1009.8
2008-03-13,55.8,57.3,15.2,0.0,1013.4
2008-03-14,53.7,72.1,10.8,0.0,1014.5
2008-03-15,53.6,79.9,8.5,0.0,1014.8
2008-03-16,56.0,61.6,20.6,0.001,1009.7
2008-03-17,56.8,56.8,16.4,0.0,1006.5
2008-03-18,53.7,67.6,10.7,0.0,1002.8
2008-03-19,50.4,77.2,9.1,0.033,1007.2
2008-03-20,49.4,61.3,13.4,0.088,1009.7
2008-03-21,48.1,57.9,22.7,0.031,998.1
2008-03-22,51.1,42.0,18.8,0.0,988.8
2008-03-23,47.9,47.7,14.2,0.0,990.9
2008-03-24,44.7,39.2,18.1,0.0,994.5
2008-03-25,51.0,44.1,20.7,0.005,1000.5
2008-03-26,49.9,50.0,12.3,0.0,1003.4
2008-03-27,50.2,62.8,10.6,0.001,1000.3
2008-03-28,52.3,48.5,13.8,0.0,1009.7
2008-03-29,53.8,61.4,10.6,0.0,1018.1
2008-03-30,52.6,75.4,10.9,0.0,1018.9
2008-03-31,52.1,76.0,10.4,0.138,1013.4
2008-04-01,57.3,54.8,10.3,0.0,1016.2
2008-04-02,58.0,50.8,15.0,0.0,1015.8
2008-04-03,57.4,50.6,13.0,0.0,1013.8
2008-04-04,54.8,47.7,13.0,0.0,1018.0
2008-04-05,51.8,61.6,9.0,0.0,1011.6
2008-04-06,55.7,53.8,20.1,0.0,1000.9
2008-04-07,56.5,27.6,22.7,0.0,1000.8
2008-04-08,53.0,58.4,7.1,0.004,1003.9
2008-04-09,53.0,85.1,8.7,0.061,1002.6
2008-04-10,56.3,87.0,9.9,0.026,1000.4
2008-04-11,57.7,82.3,13.1,0.056,1000.1
2008-04-12,53.0,62.8,13.7,0.0,1006.5
2008-04-13,53.4,62.8,10.5,0.0,1015.4
2008-04-14,52.8,66.1,15.0,0.07,1013.9
2008-04-15,54.1,49.3,14.9,0.0,1013.0
2008-04-16,53.0,51.2,9.2,0.0,1013.5
2008-04-17,51.2,73.6,14.8,0.182,1005.1
2008-04-18,53.3,85.1,12.0,1.098,998.8
2008-04-19,55.9,70.9,12.3,0.066,1002.7
2008-04-20,53.1,85.0,13.0,0.635,1006.7
2008-04-21,56.5,73.3,16.6,0.437,1001.4
2008-04-22,58.5,64.9,15.5,0.0,1003.2
2008-04-23,57.2,74.5,9.7,0.001,1013.2
2008-04-24,59.5,74.7,8.4,0.002,1021.3
2008-04-25,59.4,73.7,8.6,0.0,1023.0
2008-04-26,60.9,65.2,11.0,0.0,1022.9
2008-04-27,61.4,53.6,9.5,0.0,1023.2
2008-04-28,57.4,61.0,9.7,0.024,1015.8
2008-04-29,57.1,73.1,14.2,0.185,1007.1
2008-04-30,54.5,79.8,7.9,0.142,1007.7
2008-05-01,57.1,67.8,11.8,0.002,1013.2
2008-05-02,59.0,62.9,7.5,0.0,1020.4
2008-05-03,62.5,60.7,7.0,0.0,1021.0
2008-05-04,62.4,65.9,7.5,0.0,1019.0
2008-05-05,62.7,68.1,10.2,0.08,1017.4
2008-05-06,63.4,66.7,9.6,0.012,1019.7
2008-05-07,61.9,58.5,10.0,0.0,1018.6
2008-05-08,62.2,62.3,9.4,0.0,1016.7
2008-05-09,63.3,55.5,16.2,0.0,1013.7
2008-05-10,69.1,44.5,17.7,0.0,1012.1
2008-05-11,66.2,53.6,14.4,0.0,1014.3
2008-05-12,61.5,67.8,15.9,0.037,1014.0
2008-05-13,62.0,72.2,6.3,0.019,1012.7
2008-05-14,63.0,66.2,8.6,0.0,1013.7
2008-05-15,62.6,77.9,9.6,0.001,1013.8
2008-05-16,60.4,85.3,7.0,0.19,1011.7
2008-05-17,62.2,87.0,8.1,0.225,1008.4
2008-05-18,63.9,78.5,12.0,0.067,1005.0
2008-05-19,63.2,78.1,9.7,0.002,1003.2
2008-05-20,63.7,76.8,9.9,0.024,1000.9
2008-05-21,64.2,78.4,11.6,0.002,1007.8
2008-05-22,64.4,68.0,11.7,0.0,1010.6
2008-05-23,63.7,73.8,9.7,0.0,1012.1
2008-05-24,64.9,81.8,14.0,0.018,1012.2
2008-05-25,65.5,80.1,13.0,0.171,1012.7
2008-05-26,71.4,55.0,14.9,0.094,1010.6
2008-05-27,75.1,45.5,22.5,0.001,1007.4
2008-05-28,68.8,75.8,8.5,0.0,1011.9
2008-05-29,66.5,83.4,10.6,0.652,1009.6
2008-05-30,63.6,87.6,6.6,0.436,1011.6
2008-05-31,63.7,84.0,9.8,0.002,1016.4
2008-06-01,67.7,69.9,16.6,0.003,1014.2
2008-06-02,66.2,80.5,8.0,0.424,1014.0
2008-06-03,65.7,74.4,9.8,0.008,1012.5
2008-06-04,65.8,73.1,10.0,0.216,1011.2
2008-06-05,64.5,81.0,9.3,0.115,1009.3
2008-06-06,65.1,82.2,8.6,0.171,1009.8
2008-06-07,65.7,73.4,8.4,0.0,1010.6
2008-06-08,65.9,74.9,9.1,0.057,1012.2
2008-06-09,67.9,74.9,11.4,0.016,1016.6
2008-06-10,68.9,70.9,9.7,0.002,1018.7
2008-06-11,67.8,75.9,11.4,0.021,1015.7
2008-06-12,67.7,76.1,7.8,0.193,1009.6
2008-06-13,68.9,60.4,15.9,0.0,1007.9
2008-06-14,65.9,56.6,14.0,0.0,1011.0
2008-06-15,64.7,58.3,15.3,0.022,1011.5
2008-06-16,66.3,73.6,10.6,0.006,1009.1
2008-06-17,67.4,79.3,11.4,0.127,1009.6
2008-06-18,68.4,73.9,8.8,0.0,1013.7
2008-06-19,69.9,71.7,8.3,0.0,1016.4
2008-06-20,70.6,73.0,10.6,0.0,1017.4
2008-06-21,72.6,68.8,8.0,0.0,1018.6
2008-06-22,74.8,64.0,8.1,0.0,1019.3
2008-06-23,74.1,65.3,7.6,0.0,1018.6
2008-06-24,73.8,66.8,9.4,0.0,1016.7
2008-06-25,75.6,56.2,9.6,0.0,1015.4
2008-06-26,75.8,58.7,8.0,0.0,1015.2
2008-06-27,76.2,68.5,11.0,0.0,1013.7
2008-06-28,77.9,65.9,9.8,0.0,1015.1
2008-06-29,78.4,64.6,10.2,0.0,1016.5
2008-06-30,75.8,72.5,10.0,0.0,1016.2
2008-07-01,76.9,71.1,8.0,0.0,1015.3
2008-07-02,76.5,71.4,9.9,0.0,1013.3
2008-07-03,74.8,74.8,7.8,0.0,1011.7
2008-07-04,75.4,62.1,9.2,0.0,1010.6
2008-07-05,75.8,62.5,10.9,0.0,1012.0
2008-07-06,75.2,73.9,12.0,0.0,1011.2
2008-07-07,75.8,62.0,17.7,0.145,1009.0
2008-07-08,76.4,36.7,18.2,0.007,1011.1
2008-07-09,72.8,57.5,11.7,0.0,1014.9
2008-07-10,72.0,68.6,10.3,0.0,1015.2
2008-07-11,72.7,74.5,10.2,0.001,1014.0
2008-07-12,73.3,72.8,9.9,0.001,1010.0
2008-07-13,76.1,53.5,21.3,0.002,1006.8
2008-07-14,72.2,45.2,20.1,0.0,1013.0
2008-07-15,72.7,53.5,9.8,0.0,1022.8
2008-07-16,71.9,57.8,10.1,0.0,1020.1
2008-07-17,72.7,66.9,10.7,0.0,1012.6
2008-07-18,74.6,61.1,11.4,0.0,1010.4
2008-07-19,73.3,69.6,9.1,0.0,1014.8
2008-07-20,73.3,73.2,8.7,0.006,1013.9
2008-07-21,74.9,62.4,11.3,0.0,1010.7
2008-07-22,72.7,47.0,15.6,0.0,1014.3
2008-07-23,71.9,51.5,11.0,0.0,1015.9
2008-07-24,72.3,55.4,14.8,0.0,1012.9
2008-07-25,73.5,73.2,9.5,0.0,1010.8
2008-07-26,74.5,78.4,10.6,0.002,1011.0
2008-07-27,74.8,69.1,9.0,0.0,1012.5
2008-07-28,77.9,61.8,10.8,0.0,1014.3
2008-07-29,78.0,62.8,11.0,0.0,1015.5
2008-07-30,78.1,61.7,10.4,0.0,1016.6
2008-07-31,78.3,62.5,8.6,0.0,1016.1
2008-08-01,77.4,63.7,8.6,0.0,1015.4
2008-08-02,78.5,64.2,9.9,0.0,1015.4
2008-08-03,78.0,67.1,9.6,0.0,1015.4
2008-08-04,78.9,63.8,12.0,0.0,1013.4
2008-08-05,79.6,67.1,11.5,0.0,1011.9
2008-08-06,78.9,72.5,12.7,0.0,1012.6
2008-08-07,78.7,74.6,10.0,0.0,1011.3
2008-08-08,80.9,50.4,20.9,0.0,1006.7
