Date,Temperature (F),Humidity,Wind Speed (mph),Precipitation (inches),Pressure (mb)
2022-05-05,59.2,76.8,11.5,0.115,1017.8
2022-05-06,60.6,76.6,6.1,0.011,1015.3
2022-05-07,62.6,70.6,10.1,0.002,1016.4
2022-05-08,63.1,72.4,6.2,0.188,1017.8
2022-05-09,64.4,66.2,9.2,0.021,1021.4
2022-05-10,66.6,63.3,11.4,0.0,1021.4
2022-05-11,65.4,71.0,8.1,0.0,1021.0
2022-05-12,65.0,70.2,8.7,0.0,1021.8
2022-05-13,64.6,70.9,9.2,0.0,1020.5
2022-05-14,64.0,77.1,8.7,0.0,1019.2
2022-05-15,65.2,78.8,9.2,0.028,1019.2
2022-05-16,66.1,73.3,8.7,0.0,1019.8
2022-05-17,67.6,74.7,9.3,0.0,1018.8
2022-05-18,68.5,75.8,8.7,0.0,1019.5
2022-05-19,71.5,59.1,9.6,0.0,1024.2
2022-05-20,69.6,66.4,8.9,0.0,1025.7
2022-05-21,70.6,73.2,10.6,0.0,1019.8
2022-05-22,69.9,78.7,8.7,0.0,1013.9
2022-05-23,69.9,77.1,9.9,0.0,1009.1
2022-05-24,68.9,70.4,10.8,0.011,1006.6
2022-05-25,68.9,76.0,8.1,0.099,1011.8
2022-05-26,71.7,68.1,9.0,0.0,1017.6
2022-05-27,78.8,50.0,7.5,0.0,1015.2
2022-05-28,75.6,54.4,10.3,0.0,1006.5
2022-05-29,71.7,64.6,19.7,0.0,1003.4
2022-05-30,69.3,71.4,13.0,0.001,1008.0
2022-05-31,69.1,73.1,9.8,0.0,1013.5
2022-06-01,71.0,71.6,10.1,0.0,1014.9
2022-06-02,71.5,70.5,11.1,0.0,1016.0
2022-06-03,73.6,62.7,8.7,0.054,1015.9
2022-06-04,76.7,58.5,11.1,0.0,1016.2
2022-06-05,77.1,65.0,13.1,0.0,1014.5
2022-06-06,75.4,64.6,12.2,0.0,1014.9
2022-06-07,78.9,49.1,17.5,0.0,1011.2
2022-06-08,75.0,51.8,15.5,0.0,1008.7
2022-06-09,75.7,46.8,13.7,0.0,1007.6
2022-06-10,74.1,38.2,12.3,0.0,1015.1
2022-06-11,74.1,45.4,9.7,0.0,1018.4
2022-06-12,75.5,52.5,9.4,0.0,1019.2
2022-06-13,75.1,61.2,11.6,0.0,1015.3
2022-06-14,74.7,64.7,10.7,0.0,1015.6
2022-06-15,75.2,69.6,8.5,0.0,1017.5
2022-06-16,76.8,73.6,9.1,0.0,1017.1
2022-06-17,77.6,67.0,7.6,0.0,1017.7
2022-06-18,81.0,58.1,10.6,0.0,1018.3
2022-06-19,79.9,53.7,10.9,0.0,1015.2
2022-06-20,77.5,55.6,9.6,0.0,1014.0
2022-06-21,76.7,62.6,10.5,0.0,1012.9
2022-06-22,76.3,75.5,9.5,0.046,1012.0
2022-06-23,74.0,76.6,10.3,0.056,1013.4
2022-06-24,75.7,67.3,18.9,0.027,1011.6
2022-06-25,76.4,56.6,16.5,0.002,1012.6
2022-06-26,78.9,60.8,14.1,0.0,1012.4
2022-06-27,80.5,53.3,9.6,0.0,1012.1
2022-06-28,74.7,72.2,12.1,1.114,1011.7
2022-06-29,73.6,73.0,10.5,0.0,1012.0
2022-06-30,74.8,72.8,10.8,0.0,1012.6
2022-07-01,76.3,65.6,10.6,0.0,1013.1
2022-07-02,75.8,65.3,9.9,0.0,1017.7
2022-07-03,77.7,54.3,8.4,0.0,1017.0
2022-07-04,78.5,62.3,9.4,0.0,1015.2
2022-07-05,80.7,63.4,12.3,0.0,1014.2
2022-07-06,79.1,62.0,11.3,0.0,1015.3
2022-07-07,79.9,55.5,10.0,0.002,1014.6
2022-07-08,79.4,54.7,10.8,0.0,1017.8
2022-07-09,78.2,54.7,12.8,0.002,1019.2
2022-07-10,78.0,67.4,9.9,0.0,1016.0
2022-07-11,77.3,67.3,10.2,0.0,1016.2
2022-07-12,77.2,70.3,10.4,0.0,1018.7
2022-07-13,79.2,66.7,8.5,0.0,1020.7
2022-07-14,80.2,63.5,11.6,0.0,1018.8
2022-07-15,79.6,69.2,11.8,0.0,1014.2
2022-07-16,79.9,73.4,10.4,0.0,1014.8
2022-07-17,82.6,64.2,8.9,0.0,1017.7
2022-07-18,84.0,56.9,9.3,0.0,1018.5
2022-07-19,84.1,56.6,11.0,0.0,1017.6
2022-07-20,84.7,49.3,9.2,0.0,1017.2
2022-07-21,82.4,58.2,11.2,0.0,1015.8
2022-07-22,81.7,69.5,9.9,0.0,1016.0
2022-07-23,81.4,67.8,10.5,0.0,1015.4
2022-07-24,82.3,69.2,12.0,0.0,1015.7
2022-07-25,81.5,71.8,10.3,0.0,1013.8
2022-07-26,83.0,62.4,13.0,0.0,1009.5
2022-07-27,81.0,60.9,10.2,0.0,1009.2
2022-07-28,79.9,62.9,9.4,0.002,1011.7
2022-07-29,79.1,64.4,13.8,0.016,1013.4
2022-07-30,79.6,59.5,10.9,0.0,1013.9
2022-07-31,80.4,46.2,10.0,0.0,1014.9
2022-08-01,80.4,51.0,11.1,0.0,1013.9
2022-08-02,80.4,59.5,10.3,0.008,1013.6
2022-08-03,81.7,57.2,10.1,0.0,1014.9
2022-08-04,82.5,52.2,9.8,0.0,1014.7
2022-08-05,81.7,56.0,9.5,0.0,1013.5
2022-08-06,81.5,65.4,9.6,0.001,1013.1
2022-08-07,81.6,57.6,12.5,0.0,1013.1
2022-08-08,80.6,58.5,12.5,0.0,1014.6
2022-08-09,81.4,57.2,9.6,0.0,1016.8
2022-08-10,80.8,56.1,9.6,0.028,1017.1
2022-08-11,79.5,59.1,9.7,0.0,1016.1
2022-08-12,78.9,63.9,10.1,0.0,1012.4
2022-08-13,78.6,63.7,11.3,0.0,1012.1
2022-08-14,78.1,58.6,10.2,0.007,1010.1
2022-08-15,76.3,66.8,10.6,0.001,1007.1
2022-08-16,78.1,70.0,11.1,0.0,1009.3
2022-08-17,74.1,77.0,8.7,0.663,1011.1
2022-08-18,72.5,74.0,11.5,0.389,1009.0
2022-08-19,75.0,62.7,13.1,0.001,1009.5
